neurotic,4.45,(2.23),5.13,(2.76),4.41,(2.05),10
news,5.30,(1.67),5.17,(2.11),4.60,(1.88),102
nice,6.55,(2.44),4.38,(2.69),5.58,(2.20),75
nightmare,1.91,(1.54),7.59,(2.23),3.68,(2.76),9
nipple,6.27,(1.81),5.56,(2.55),5.57,(2.00),.
noisy,5.02,(2.02),6.38,(1.78),4.93,(1.76),6
nonchalant,4.74,(1.11),3.12,(1.93),4.31,(1.54),1
nonsense,4.61,(1.63),4.17,(2.02),4.90,(1.55),13
noose,3.76,(1.64),4.39,(2.08),4.17,(1.92),3
nourish,6.46,(1.69),4.29,(2.51),5.80,(1.62),.
nude,6.82,(1.63),6.41,(2.09),5.96,(2.29),20
nuisance,3.27,(1.86),4.49,(2.69),4.36,(1.73),5
nun,4.93,(1.89),2.93,(1.80),4.93,(1.69),2
nurse,6.08,(2.08),4.84,(2.04),4.84,(2.20),17
nursery,5.73,(2.30),4.04,(2.74),5.18,(2.23),13
obesity,2.73,(1.85),3.87,(2.82),3.74,(2.45),5
obey,4.52,(1.88),4.23,(1.72),4.26,(2.40),8
obnoxious,3.50,(2.18),4.74,(2.42),5.39,(2.20),5
obscene,4.23,(2.30),5.04,(2.30),4.48,(1.91),2
obsession,4.52,(2.13),6.41,(2.13),4.77,(2.38),5
ocean,7.12,(1.72),4.95,(2.79),5.53,(2.75),34
odd,4.82,(2.04),4.27,(2.46),4.77,(1.89),44
offend,2.76,(1.50),5.56,(2.06),3.73,(2.03),4
office,5.24,(1.59),4.08,(1.92),5.59,(1.89),255
opinion,6.28,(1.45),4.89,(2.46),5.53,(1.93),96
optimism,6.95,(2.24),5.34,(2.58),6.61,(2.06),15
option,6.49,(1.31),4.74,(2.23),6.34,(1.80),5
pig,5.07,(1.97),4.20,(2.42),5.34,(1.88),8
pillow,7.92,(1.40),2.97,(2.52),4.56,(2.17),8
pinch,3.83,(1.70),4.59,(2.10),4.76,(1.73),6
pistol,4.20,(2.58),6.15,(2.19),5.05,(2.77),27
pity,3.37,(1.57),3.72,(2.02),4.12,(1.82),14
pizza,6.65,(2.23),5.24,(2.09),5.69,(1.90),3
plain,4.39,(1.46),3.52,(2.05),4.71,(1.68),48
plane,6.43,(1.98),6.14,(2.39),4.78,(2.19),114
plant,5.98,(1.83),3.62,(2.25),4.71,(2.12),125
pleasure,8.28,(0.92),5.74,(2.81),6.15,(2.31),62
poetry,5.86,(1.91),4.00,(2.85),5.31,(1.81),88
poison,1.98,(1.44),6.05,(2.82),3.10,(2.44),10
politeness,7.18,(1.50),3.74,(2.37),5.74,(1.70),5
pollute,1.85,(1.11),6.08,(2.42),4.92,(2.51),1
poster,5.34,(1.75),3.93,(2.56),4.91,(1.87),4
poverty,1.67,(0.90),4.87,(2.66),3.21,(2.21),20
power,6.54,(2.21),6.67,(1.87),7.28,(2.35),342
powerful,6.84,(1.80),5.83,(2.69),7.19,(2.52),63
prairie,5.75,(1.43),3.41,(2.17),4.62,(2.13),21
present,6.95,(1.85),5.12,(2.39),5.83,(1.78),377
pressure,3.38,(1.61),6.07,(2.26),3.45,(2.07),185
prestige,7.26,(1.90),5.86,(2.08),6.90,(1.96),29
pretty,7.75,(1.26),6.03,(2.22),5.50,(1.97),107
prick,3.98,(1.73),4.70,(2.59),4.47,(1.88),2
pride,7.00,(2.11),5.83,(2.48),7.06,(2.15),42
priest,6.42,(2.00),4.41,(2.71),4.88,(2.07),16
prison,2.05,(1.34),5.70,(2.56),4.20,(2.58),42
privacy,5.88,(1.50),4.12,(1.83),5.66,(1.78),12
profit,7.63,(1.30),6.68,(1.78),5.85,(2.47),28
progress,7.73,(1.34),6.02,(2.58),6.76,(2.05),120
promotion,8.20,(1.15),6.44,(2.58),6.79,(2.28),26
protected,7.29,(1.79),4.09,(2.77),5.80,(2.54),31
proud,8.03,(1.56),5.56,(3.01),6.74,(2.73),50
pungent,3.95,(2.09),4.24,(2.17),4.78,(1.52),4
punishment,2.22,(1.41),5.93,(2.40),3.50,(2.43),21
puppy,7.56,(1.90),5.85,(2.78),5.51,(2.39),2
pus,2.86,(1.91),4.82,(2.06),4.35,(1.82),.
putrid,2.38,(1.71),5.74,(2.26),4.89,(2.09),.
python,4.05,(2.48),6.18,(2.25),4.52,(2.56),14
rifle,4.02,(2.76),6.35,(2.04),4.16,(2.71),63
rigid,3.66,(2.12),4.66,(2.47),4.61,(2.04),24
riot,2.96,(1.93),6.39,(2.63),4.18,(2.47),7
river,6.85,(1.69),4.51,(2.42),5.10,(1.86),165
roach,2.35,(1.70),6.64,(2.64),4.82,(2.94),2
robber,2.61,(1.69),5.62,(2.72),3.62,(2.38),2
rock,5.56,(1.38),4.52,(2.37),5.15,(2.01),75
rollercoaster,8.02,(1.63),8.06,(1.71),5.10,(2.76),.
romantic,8.32,(1.00),7.59,(2.07),6.08,(2.29),32
rotten,2.26,(1.37),4.53,(2.38),4.32,(2.09),2
rough,4.74,(2.00),5.33,(2.04),4.81,(1.70),41
rude,2.50,(2.11),6.31,(2.47),4.91,(2.49),6
runner,5.67,(1.91),4.76,(2.40),5.47,(1.84),1
rusty,3.86,(1.47),3.77,(2.16),4.53,(1.62),8
sad,1.61,(0.95),4.13,(2.38),3.45,(2.18),35
safe,7.07,(1.90),3.86,(2.72),5.81,(2.06),58
sailboat,7.25,(1.71),4.88,(2.73),5.86,(1.71),1
saint,6.49,(1.70),4.49,(1.90),5.37,(2.11),16
salad,5.74,(1.62),3.81,(2.29),5.47,(1.68),9
salute,5.92,(1.57),5.31,(2.23),5.46,(2.05),3
sapphire,7.00,(1.88),5.00,(2.72),5.55,(2.24),.
satisfied,7.94,(1.19),4.94,(2.63),6.14,(2.37),36
save,6.45,(1.93),4.95,(2.19),6.00,(1.79),62
savior,7.73,(1.56),5.80,(3.01),6.64,(2.18),6
scalding,2.82,(2.12),5.95,(2.55),3.82,(2.30),1
scandal,3.32,(1.81),5.12,(2.22),4.34,(1.73),8
scapegoat,3.67,(1.65),4.53,(2.13),3.52,(1.70),1
